country,latitude,longitude,name,room_types,booked,rating,nights,review,traveler_type,reviewed,review_title
 Russia,61.524,105.3188,Margarita,Junior Suite with King Bed ,2024-03,10.0,6,"This hotel is fine: its location is next to restaurants, supermarkets, pharmacies. The Beach is 10 minutes ' walk away. We were greeted very welcoming. After night flight we were given room before the necessary time of settlement . At breakfast, the owner Uttam showed much attention and care to us . And so it was every day throughout our stay . Our roomboy Mantv always maintained purity in our room. Breakfast is delicious and sufficient: a lot of national food on marmits and the opportunity to order continental food on the menu. The hotel is new, well-groomed, with beautiful territory and fresh pools. Everything is very convenient",Family,2024-03-20,You will like it here
 United Kingdom,55.3781,-3.436,Julie,Junior Suite with King Bed ,2024-03,10.0,14,Ideally situated in a prime location. Absolutely immaculately clean and the staff are amazing.,Couple,2024-03-19,Another amazing stay . Best hotel in Goa .
 Bahrain,26.0667,50.5577,Ward,Junior Suite with King Bed ,2024-03,9.0,3,"Good location, clean comfortable large rooms. Staff was 12 out of 10. Breakfast was amazing. Pools and grounds kept in perfect shape.",Couple,2024-03-19,Was great will stay again
 India,20.5937,78.9629,Mallikarjuna,Junior Suite with King Bed ,2024-03,10.0,3,Everything,Family,2024-03-18,Excellent stay
 Sweden,60.1282,18.6435,Malin,Junior Suite with King Bed ,2024-03,10.0,5,"Super duper service minded staff -all of them. Especially Sandesh, Mantu and Asha who we had most contact with. We are very happy with our stay and would recommend this hotel. 
Big hotel rooms, an okey gym, and we also got happily surprised by the rooftop for drinks and food wich we must have missed when we booked. 
Both Indian and more Scandinavian breakfast.",Family,2024-03-15,Exceptional
 United Kingdom,55.3781,-3.436,Liz,Junior Suite with King Bed ,2024-03,9.0,7,"In the centre of Candolim but a calm respite from the hectic pace and noise.
The staff couldn’t be more helpful
Chef Nitin’s Goan cookery masterclass was excellent",Group,2024-03-11,An excellent hotel where we were extremely well looked after
 Netherlands,52.1326,5.2913,Alice,Junior Suite with Twin Bed ,2024-02,10.0,4,"Tranquil and well looked after property. 3 swimming pools! Staff is really friendly and helpful. Restaurants and beach just around the corner. 
Breakfast was also great. Would definitely go back to stay.",Solo traveller,2024-03-08,Great place to stay in Goa
 United Kingdom,55.3781,-3.436,Marie,Junior Suite with King Bed ,2024-03,10.0,7,"I really could not fault this hotel at all and I would definitely stay here again 100%. The place is spotless & grounds immaculate but what makes this place extra special is the staff - they are all amazing. I have travelled all over the world and never been treated so well before.  They just cannot do enough for you and the Hotel owner attends breakfast every morning to speak with all the guests. This is a very well run & managed hotel and the staff (or The Angels) as the owner refers to them as are very much loved and appreciated - I have never witnessed this before. Loved everything - room, grounds, pools, breakfast, rooftop, food but most of all the staff!",Couple,2024-03-04,Amazing! Will definitely stay again
 United Kingdom,55.3781,-3.436,Phil,Junior Suite with Twin Bed ,2024-02,9.0,5,Owner and staff very pleasant and helpful,Couple,2024-03-03,Lovely hotel with even more lovely staff
 United Kingdom,55.3781,-3.436,Sandip,Junior Suite with King Bed ,2024-02,10.0,6,The people were so nice.  They couldn’t do enough for you.  Food was excellent and property was very clean.   Excellent location to beach and bars,Group,2024-03-01,Home from home
 Australia,-25.2744,133.7751,Ganesh,Junior Suite with King Bed ,2024-02,10.0,4,"Absolutely loved this place! The owner and his son absolutely know how to run a 5-star hotel! From the start to the end Seashell Suites really knows how to make your vacation worthwhile. From the magnificent BIG room, to the BEST buffet breakfast I’ve ever had, Seashells is honestly the best hotel in North Goa and I will gladly recommend this place to anyone who wants to stay in Goa! Thanks once again, from the one Aussie couple!",Couple,2024-02-29,"Perfect, 5-star hotel with a magnificient pool and luxurious rooms."
 United Kingdom,55.3781,-3.436,Raymond,Junior Suite with King Bed ,2024-02,10.0,10,"Seashell Suites is very homely.  The owner and his son have established a wonderful place to stay.  They both make time for everyone and all their staff are so helpful, professional and helpful in every way. It is difficult not to mention all the staff by name but Asha in particular helped us with a couple of things.",Couple,2024-02-29,Exceptional
 United Kingdom,55.3781,-3.436,Clive,Junior Suite with Twin Bed ,2024-02,10.0,5,Staff excellent. Breakfast excellent. Rooms Excellent. Pool excellent. All round excellent.,Group,2024-02-26,Absolutely brilliant stay
 United Kingdom,55.3781,-3.436,Julija,Junior Suite with King Bed ,2024-02,10.0,7,"Suites are very spacious, comfortable and cleaned daily. It made our stay very enjoyable. I also must highlight the customer service. It was outstanding. Every member of staff made you feel welcome. With Kim’s help I managed to try various local dishes during breakfast time. She was extremely helpful and kind. Chef Nitin made special chocolate pancakes for my daughter and she finished these within minutes. Reception staff was always helpful and resolved any queries quickly. We appreciated how much effort has gone in to make sure that we enjoyed our holiday as much as we did. I definitely recommend this hotel. It is fabulous!",Family,2024-02-26,Fantastic hotel with outstanding customer service
 Ireland,53.1424,-7.6921,Alexander,Three-Bedroom Villa ,2024-02,8.0,3,"Beautiful, extremely clean property with 3 pools",Family,2024-02-26,Great holiday stay
 Australia,-25.2744,133.7751,Gary,Junior Suite with King Bed ,2024-02,10.0,5,"A lovely hotel in a great location, close to everything.  Breakfast was always a good start to the day and the chef cooked the most fantastic full fish lunch for us at late notice.   Plenty of space around one of the 3 pools with plenty of shade if needed.",Couple,2024-02-24,Exceptional
 United Kingdom,55.3781,-3.436,Flymebabe,Junior Suite with King Bed ,2024-02,10.0,11,Fantastic breakfast and great hotel with best staff that the owner calls his angels.,Couple,2024-02-24,Amazing
 United Kingdom,55.3781,-3.436,Barry,Junior Suite with King Bed ,2024-02,10.0,14,Everthing,Couple,2024-02-23,Simpl superb
 United Kingdom,55.3781,-3.436,Jonathan,Two-Bedroom Villa with Garden View ,2024-02,10.0,6,"The room is much larger than the size of room that you would get in other hotels. If you also book one of the exceptional villas, the size of the living accommodation is exceptional. The way that the rooms are decorated, also have a very warm feel which makes you think it is more of a home from home, than a hotel. 
The buffet breakfast is superb, with additional items that can be ordered from a menu on the table. Staff are always asking to assist and nothing is too much trouble for the staff or the exceptional Chef Nitin. 
There are 3 pools onsite. All are exceptionally well maintained. 
The staff really make Seashells!
Anjana at reception could not be more helpful, from arranging and suggesting restaurants for us, to booking taxis for us to see more of the area. A perfect welcome from her every time we arrived back from a day out. 
Sandesh was exceptionally kind and ensured that the older relative that we brought with us was well looked after during our visit.",Family,2024-02-21,This is an absolute must for anyone travelling to the area. Nowhere better to stay!
 India,20.5937,78.9629,Anurag,Junior Suite with King Bed ,2024-02,10.0,3,Just everything. The management and the staff take extra effort to make sure that you have a very nice time. Everything from reception to rooms to pools to service is top notch. I will highly recommend this place.,Family,2024-02-20,Excellent service by staff and great effort by management to run this property.
 United Kingdom,55.3781,-3.436,Annette,Junior Suite with Twin Bed ,2024-02,10.0,7,"This is a fantastic hotel. The location is perfect, 5 - 10 minutes walk to the beach. Close to many super resturants & shopping, 2 minutes to beach road, taxi rank opposite. A couple of good supermarkets nearby. In the heart of Candolim. The owners and staff make this a very special place to stay. The food is amazing & very reasonable as are the drinks [& I had a cooking lesson with the fabulous chef]. The rooms [all suites] are spacious and confortable, everywhere spotlessly clean.  The pool and garden areas are an oasis of tranquility, away from the noise and bustle of the main road. Yes, conpared to some of the accomodation in Goa, it is relatively expensive. However, you get what you pay for. In our opinion worth every single penny - a touch of luxury. We had room service a couple of times and dinner up on the rooftop [watched sunset over beach] - amazing quality and as cheap if not cheaper than resturants and shacks nearby. If I do return to Goa, I will head straight to Seashells.",Family,2024-02-19,"Amazing, Fantastic - Sorry to leave"
 United Kingdom,55.3781,-3.436,Rajiv,Three-Bedroom Villa ,2023-12,10.0,4,"Clean and convenient 
Transport and food was great 😊",Family,2024-02-18,Clean and comfortable
 United Kingdom,55.3781,-3.436,Elaine,Junior Suite with Twin Bed ,2024-02,10.0,9,Property was lovely and clean ! We stayed in a junior suite and the room wad very big and spacious with tea and coffee facilities and a decent size fridge . The room had lots of lights which were nice and bright! The bathroom was a good size and large rainfall shower ..,Couple,2024-02-17,The staff were amazing and the head chef was outstanding .My husband has special dietry requirements and the chef cooked
 United Kingdom,55.3781,-3.436,Heather,Junior Suite with King Bed ,2024-02,8.0,13,"Staff are excellent, and I can't do enough to help. We met the owner at breakfast, which was a lovely personal touch 
Brilliant location",Couple,2024-02-16,Excellent hotel
 United Kingdom,55.3781,-3.436,Catherine,Junior Suite with King Bed ,2024-02,10.0,10,Lovely restaurant with lovely friendly staff and nice food,Couple,2024-02-09,Exceptional
 United Kingdom,55.3781,-3.436,Lorraine,Junior Suite with King Bed ,2024-02,10.0,7,Outstanding hotel looks as good outside as it does inside. Beautiful spacious rooms wit a luxurious bed,Couple,2024-02-08,Our stay was second to none warm welcome when arrived and the staff carried it on throughout our stay even to the day we
 United Kingdom,55.3781,-3.436,Makani,Junior Suite with King Bed ,2024-01,10.0,5,Excellent service provided by all the staff.,Group,2024-02-07,"Best trip to Goa, and the hotel Seashells made the trip better."
 India,20.5937,78.9629,Chandan,Junior Suite with Twin Bed ,2023-11,10.0,4,"breakfast,pool, staff behaviour, owner",Family,2024-02-05,Experience was exceptional will stay there again
 United Kingdom,55.3781,-3.436,Robert,Junior Suite with King Bed ,2024-01,9.0,12,"Spotlessly clean, good sized room with seperate sleeping and living areas each with its own TV plus a sunny private balcony. Well trained friendly, friendly and efficient staff. Helpful reception with superb English. Three pools set in lovely gardens. Short walk to beach, restaurants, shops and bars. Roof top bar for sunset drinks.",Couple,2024-02-02,This hotel made our holiday pleasant and easy. We shall be back!
 United Kingdom,55.3781,-3.436,Mark,Junior Suite with King Bed ,2024-01,10.0,7,"The hospitality of the staff, manager and manager's father was superb.  Our room cleaner Ratan deserves special mention for his attention to detail.  Breakfast was good, with a European selection for those shy of the range of Goan specialities.  Lovely large room.",Couple,2024-02-02,"Highly recommended, great hospitality and staff, lovely large room and very good breakfast"
 India,20.5937,78.9629,Rajarshi,Junior Suite with King Bed ,2024-01,10.0,2,"1. Seashell Suites and Villas is located on the main road near Candolim beach, making it very convenient to access all the happening restaurants on that stretch, even if you don't have a personal vehicle.
2. The room size was huge, and came with a balcony. The bathroom was spacious and clean.
3. Loved the breakfast spread, they made even something as simple as a masala omelette a memorable experience!
4. Provided parking space for the Zoomcar we booked.",Family,2024-02-02,Great stay near Candolim beach!
 Australia,-25.2744,133.7751,Browne,Junior Suite with King Bed ,2024-02,10.0,4,"Quiet and away from the busy streets, lots of green and well maintained pool, gardens, rooms.",Group,2024-02-02,The staff are what make this hotel 5stars.
 United Kingdom,55.3781,-3.436,Jacquie,Junior Suite with King Bed ,2024-01,10.0,6,"The hotel is spotless and the team all so friendly and welcoming. Could not fault the service, particularly the room cleaning, breakfast and pool bar! Rooms are well planned with ample space, bathroom and shower great.",Couple,2024-01-30,Wonderful hotel and fabulous team. Hope to see you soon
 United Kingdom,55.3781,-3.436,Martin,Junior Suite with King Bed ,2024-01,10.0,5,"We were very pleasantly surprised. The hotel has 3 pools, we preferred the one at the back since it was quieter but the one close by has the bar so you decide. The pool was exceptionally clean and well maintained. Plenty of sun loungers and extra towels if needed. 
We had a double room in the main building which was spacious and well fitted. Good powerful showers and room cleaning by Sylvester was to a high standard.
The hotel location is a 10 minute walk down to the beach. We also discovered some quieter lanes down to the beach. Loads of places to eat or just drink in this well behaved town!
Quite a few British people from Tui package tours in the hotel and congregating around the bar area and a few Indian families from North India. Everyone seems to rub along well.
Breakfast is excellent, Massala Dosa was my favourite and the coffee was good too.",Couple,2024-01-24,Lovely Independent hotel with excellent facilities
 United Kingdom,55.3781,-3.436,Jane,Two-Bedroom Villa with Garden View ,2024-01,10.0,5,Great central  location. Our villa was amazing and set back from the busy road. Lovely pools. Staff were all fabulous.,Group,2024-01-20,Fabulous
 New Zealand,-40.9006,174.886,Bianca,Junior Suite with King Bed ,2024-01,10.0,4,"The location is central in Candolim- handy to the beach, local shops, Newtons and Delphinos. The facilities within are also fabulous - 3 pools, secluded and quiet. Immaculate grounds. 
The staff are attentive and polite. The food is delicious - thanks to Chef Nitin. The Owner - Mr Shelly and family (don’t know all their names) are wonderful hosts, walking the restaurant and greeting all the guests personally every morning. 
Thoroughly enjoyed our stay here and will be returning with the wider family.",Family,2024-01-18,Lived up to all our expectations and more!
 India,20.5937,78.9629,Sumita,Junior Suite with King Bed ,2024-01,10.0,5,"Seashell Villa is extremely guest friendly. One of the best hotel ever that I have stayed in. Breakfast was very good, with wide variety. The packed breakfast was also according to our requirements and preference. All the staff were well behaved, helpful, polite. Anjana Lama was exceptional help, efficient and professional. She guided us with our travel plans and itinerary and called taxis for us and made our travel smooth and enjoyable. In the hotel, Asha Paneru and Shong Haokip also were noticeable help towards whom we are grateful. In fact all staff were very nice. There was a guard just outside the premise of the hotel, who held my senior citizen's aunt hand and helped her cross the busy road 2/3 times in the evening.",Family,2024-01-17,Exceptional experience we had. In every area Seashell Villa was good. I would definitely visit again
 United Kingdom,55.3781,-3.436,Nikki,Junior Suite with King Bed ,2024-01,10.0,9,Great location . Not far from the beach . Friendly staff . Nice food .,Group,2024-01-16,"Great holiday , would definitely come back ."
 United Kingdom,55.3781,-3.436,Christopher,Junior Suite with King Bed ,2024-01,10.0,9,"This is a Jewel in Candolim, from the moment we arrived the staff made us feel so welcome. Everyone from the owners down to the porters took the time to introduce themselves and everyone was so nice. The room was spacious and very comfortable. The restaurant was very good with a good selection. The Sky bar is a great place to have drink and watch the sunset. A truly memorable stay I would highly recommend.",Couple,2024-01-14,"Great place, so well run"
 United Kingdom,55.3781,-3.436,Jayne,Junior Suite with King Bed ,2024-01,9.0,7,Fantastic staff really enjoyed our stay will be back.,Couple,2024-01-09,Fantastic
 United States,37.0902,-95.7129,Isma,Junior Suite with King Bed ,2023-12,10.0,2,"Seashell Suites and Villas was an excellent place for my husband and I to stay during a three day trip to Goa. The room was excellent (spacious and clean) and decorated with flowers and balloons since my husband and I were celebrating our honeymoon there.  The owner also sent a chocolate cake delivered to our room once he found out we were celebrating. The location is only a few minutes walk from Candolim beach and close to many good bars/restaurants. If desiring to go to other beaches, there is a taxi stand nearby as well. Breakfast options were extensive and included options from many cuisines. I would definitely recommend this location to others.",Couple,2024-01-07,A wonderful stay!
 United Kingdom,55.3781,-3.436,Chris,Junior Suite with King Bed ,2024-01,10.0,4,"Quiet & intimate, with good facilities and Excellent staff - friendly, helpful and professional.",Couple,2024-01-06,"A really enjoyable stay in a beautiful property, with wonderful people. As the owner said to me, this morning, “it’s a h"
 United Kingdom,55.3781,-3.436,Graham,Junior Suite with Twin Bed ,2024-01,10.0,11,"Very clean.
Attentive and friendly staff made you feel
Very welcome",Couple,2024-01-04,Very enjoyable and will return
 United Kingdom,55.3781,-3.436,Clare,Junior Suite with King Bed ,2024-01,10.0,11,"Everything .. loved this place all the staff the attention to detail was incredible.. sending us cakes and champagne twice during our stay was a nice touch too . Sandesh at breakfast always went above and beyond , chief nitin cooked some amazing food  and the whole atmosphere was perfect ..",Couple,2024-01-03,Beautiful people beautiful place
 South Africa,-30.5595,22.9375,Neel,Junior Suite with King Bed ,2024-01,8.0,5,"The property is well located. The rooms were large and very comfortable… Most importantly, the service was impeccable!",Group,2024-01-03,"Simply, a wonderful stay!"
 United Kingdom,55.3781,-3.436,Zeenat,Junior Suite with King Bed ,2023-12,10.0,7,"Well what can I say! Amazing hotel. Made all the more amazing by each and every member of the staff, but especially Asha on front desk, Somnath and Sabina in the restaurant. Felt treated like family. The owners, Shelley and Royston who came to greet and chat to us every morning at breakfast. 
Immaculate grounds and pool areas. Very large and very comfortable rooms. A lovely haven from the hustle and bustle of the streets outside. 
Breakfast and food was of a very high standard, so must mention chef Nitin.
Beach and many restaurants very nearby, walking distance.",Couple,2023-12-31,"Amazing, a home away from home"
 Australia,-25.2744,133.7751,Zarko,Junior Suite with King Bed ,2023-12,9.0,5,"We stayed the first week in December, and everything was nearly perfect, we truly rested in a very comfortable setting, spacious room, nice pools, good food & drinks, and a rooftop terrace bar. The hotel is a short 6-7 minutes walk from the beach via a street lined with shopping and restaurants, offering good food and entertainment as well. At first we had doubts about the location, but as we explored the surroundings, we realised the location is possibly the best one could wish to get in Candolim...",Couple,2023-12-31,Just rest and not much more
 India,20.5937,78.9629,Milind,Three-Bedroom Villa ,2023-12,10.0,4,"Our stay at Seashells villa was a five-star experience. The property is impeccably maintained, and the staff, notably Sandesh and Mario Gomez (the GM), went above and beyond, even sourcing local treats for us.

The owner's personal touch was evident in the thoughtful gesture of a complimentary cake, setting the tone for our stay. The swimming pool offered a refreshing retreat, and the well-manicured garden added to the charm.

The resort is located in the centre of Candolim, surrounded by lot of good restaurants and walking distance from the beach. Highly recommended for those seeking a nice family holiday in North Goa.",Family,2023-12-27,Excellent family holiday in Candolim
 United Kingdom,55.3781,-3.436,Lauren,Junior Suite with King Bed ,2023-10,9.0,3,Lovely property which was close to the beach and shops. The pool was great and the cocktails lovely! The staff were friendly and overall it was great.,Couple,2023-12-27,We would love to be back!
 United Kingdom,55.3781,-3.436,Cindy,Junior Suite with King Bed ,2023-12,10.0,5,The staff were so genuinely friendly and helpful and couldn’t do enough for you. The hotel was immaculate. The food in the restaurant was incredible and great value for money. Chef Nitan is a huge asset to the hotel. Great value for money,Couple,2023-12-26,Exceptional stay. Can’t wait to go back
 South Africa,-30.5595,22.9375,Khushma,Junior Suite with King Bed ,2023-12,10.0,2,This property is amazing. The rooms are huge and super clean. The staff are absolutely amazing. Everything about this property is amazing. One of the cleanest properties in India!,Couple,2023-12-24,Exceptional
 India,20.5937,78.9629,Tanmay,Junior Suite with King Bed ,2023-12,9.0,2,"Everything - Rooms, staff, buffet. They are really putting in the effort. Call out for Sylvester as well who was the housekeeping staff",Couple,2023-12-23,Amazing and best Property in a not so good part of Goa
 India,20.5937,78.9629,Shriya,Junior Suite with King Bed ,2023-12,10.0,5,Exceptional service and staff was very helpful and efficient,Family,2023-12-22,Very comfortable stay.. one of the best places I have stayed in.
 India,20.5937,78.9629,Andezhath,Junior Suite with King Bed ,2023-12,10.0,3,"Staff is very polite and greet you cheerfully everytime you encounter them. Bimanshu and Brojen are two names which come to my mind but each and everyone contributed to the experience of being welcomed. The owner meets up with guests during the breakfast, all the facilities are well maintained.",Family,2023-12-19,Exceptional
 India,20.5937,78.9629,Chandan,Three-Bedroom Villa ,2023-10,10.0,4,"Very nice property, grear location, amazing food",Family,2023-12-18,"Very nice property, food was amazing and location was superb!"
 India,20.5937,78.9629,Saurabh,Junior Suite with King Bed ,2023-12,10.0,2,"It was great experience for our family. The hospitality was really very awesome. The food, the ambience, the vibe was very nice.",Family,2023-12-18,"Awesome great experience, would recommend always prefer this place when I am visiting Goa again."
 United Kingdom,55.3781,-3.436,Jo,Junior Suite with Twin Bed ,2023-11,10.0,7,The location was excellent right in the centre of the bustling Candolim but was so quiet once inside the hotel.,Family,2023-12-15,Very relaxing stay would definitely return
 India,20.5937,78.9629,Sagnik,Junior Suite with King Bed ,2023-12,9.0,4,The Service Staff and the involvement of the owners.,Couple,2023-12-13,"The stay was great, service staff was great, location is great. Only the pricing was little steep."
 New Zealand,-40.9006,174.886,Aishwarya,Junior Suite with King Bed ,2023-12,10.0,3,We had such an amazing stay! The staff are super helpful and always greeting with a big smile. The rooms are spacious with great facilities. Very comfortable stay! We loved the buffet breakfast and pool area too. Service is phenomenal! Will stay here again next time we’re in Goa,Group,2023-12-12,Beautiful and comfortable stay!
 United Kingdom,55.3781,-3.436,Shabnum,Three-Bedroom Villa ,2023-10,10.0,2,Everything was perfect. The pool the staff villa amazing,Family,2023-12-11,THE BEST PLACE TO STAY IN GOA
 South Africa,-30.5595,22.9375,Natvarlal,Junior Suite with King Bed ,2023-12,9.0,2,Very good.,Couple,2023-12-11,Overall we had an excellent time there.
 United Kingdom,55.3781,-3.436,Adrian,Junior Suite with King Bed ,2023-12,10.0,8,"What didn’t we like??? An amazing hotel in a fantastic location. 3 wonderful pools that are peaceful and clean. Loads of sunbeds and towels. We were stunned at the massive size of the room that was super clean. The staff, well, they were absolutely fantastic, friendly, helpful and professional. Nothing was too much trouble. Lovely little rooftop bar with great sunset views. Highly recommend this hotel",Couple,2023-12-10,Amazing
 United Kingdom,55.3781,-3.436,Beth,Junior Suite with King Bed ,2023-12,10.0,3,Great location and helpful staff,Couple,2023-12-09,"A lovely place of calm away from the busy streets. Staff were extremely helpful, our waiter Sandesh couldn’t do enough t"
 United Kingdom,55.3781,-3.436,Joanne,Junior Suite with Twin Bed ,2023-12,10.0,7,"all food SUPERB - chef made special meals specific to my daughters nut allergy. The chef was AMAZING - he also organised a birthday cake for my daughter for a surprise and the staff all sang to her at breakfast - was a great touch.

 Pool areas x 3 - all lovely but was disappointed that we had to move twice due to large groups of rowdy men playing with balls in the pool and splashing us - when pointed out to the reception they just told us to go to another of the pools - i would think for a 5 star hotel they would make rules about large groups disturbing the people trying to relax by the pool especially as we couldnt even get into two of the pools on one day because of the ball being thrown.

room was superb and huge with a balcony 

the location was excellent 

the reception staff were very very helpful",Family,2023-12-05,wonderful!!!!!!! we will be back!!!!
 United Kingdom,55.3781,-3.436,Phillip,Junior Suite with King Bed ,2023-12,10.0,10,staff are always smiling and can't do enough for you could not fault it,Couple,2023-12-04,Exceptional
 Singapore,1.3521,103.8198,Norsilah,Junior Suite with Twin Bed ,2023-11,9.0,3,"Clean, comfortable and at a good location. The staff were awesome, very friendly, relaxed and smiling. Shout out to Anjana for the exceptional service. Seashell has hospitality at jts best, they are truly 9.5*",Couple,2023-11-30,Hospitality at its best!
 United Kingdom,55.3781,-3.436,Jay,Junior Suite with King Bed ,2023-11,9.0,6,"Facilities but mainly staff. So many wonderful people to name, Sabina, Asha, MAYA, Anjana, Jeevan, Kim, Songh, Jeevan, Nitin(head chef) Shelley and Royston (owners) and all the rest.",Couple,2023-11-30,Terrific!!
 Spain,40.4637,-3.7492,Lucia,Junior Suite with King Bed ,2023-10,8.0,4,Friendly staff and nice rooms,Couple,2023-11-26,Very good
 India,20.5937,78.9629,Singh,Two-Bedroom Villa with Garden View ,2023-11,10.0,4,Neat and clean,Family,2023-11-25,Ultimate experience
 Australia,-25.2744,133.7751,Nalini,Junior Suite with King Bed ,2023-11,9.0,5,"Everything...location was Superb,  Staff were very helpful..Special mention 👏 for Anjana at Reception...she took really good care if us 😀",Family,2023-11-25,Superb
 Finland,61.9241,25.7482,Pia,Junior Suite with King Bed ,2023-11,10.0,10,"The customer service was great, the room service was fast, the cleanliness of the place was excellent :)
The swimming pool was clean and well maintained, the breakfast buffet was functional. Check-out will get the best points 11/10 . All invoices had already been placed for review, well and clearly separated. Excellent :)",Couple,2023-11-25,We will go again!
 Sweden,60.1282,18.6435,Goncalo,Junior Suite with Twin Bed ,2023-11,10.0,6,"Great breakfast and really Ince swimming pool areas, super friendly personal, who really made our family feel very welcome. It was a great stay.",Family,2023-11-23,Exceptional
 India,20.5937,78.9629,Neeraj,Junior Suite with King Bed ,2023-11,10.0,4,Rooms are spacious and well maintained. The location is perfect. Walking distance from the beach. Breakfast and food quality is very good. Staff are friendly and helpful. They make every effort to make sure that the guests are comfortable. Special mention for Surya for keep rooms clean and The travel lady Anjana was again very helpful. Overall full marks from family,Family,2023-11-21,Enjoyed every bit of my stay. Highly recommended
 Australia,-25.2744,133.7751,Susan,Junior Suite with King Bed ,2023-11,10.0,4,"Wonderful staff, great grounds and pools. Good location close to Candolim beach. Good local buses outside front door and easy to get taxi to take to Panjim.  Suggest flying into the new North Goa international airport (GOX) if staying here. Burling street scene with good local restaurants, bars, tailors, jewellery shops etc, but the hotel itself is a quiet oasis",Group,2023-11-20,Great oasis in bustling Candolim beach
 United Kingdom,55.3781,-3.436,Ruby,Junior Suite with King Bed ,2023-11,10.0,2,"Exceptional staff. Beautifully clean and well maintained grounds, the rooms were spotless and very generously sized. Poolside service is a really nice touch.",Couple,2023-11-11,Best place to stay in Candolim
 United Kingdom,55.3781,-3.436,Miranda,Junior Suite with King Bed ,2023-10,10.0,7,"The hotel is a quiet and calm oasis off the main street of restaurants. The rooms are huge and very clean, with very comfy beds and pillows. The breakfast was so so good, and the night we did stay in and get room service the food was also great. 
The pool is lovely and it was great to lie beside while ordering cocktails and food from the sun lounger!
Mostly however the service was perfect. Nothing was too much and I honestly felt like a bit of a celebrity because everyone was so lovely and going out of their way to smile and say hello!",Couple,2023-11-09,A perfect hotel with an amazing breakfast!
 United Kingdom,55.3781,-3.436,Hannah,Junior Suite with King Bed ,2023-11,10.0,2,So clean. Huge room. Staff couldn't do enough for you.,Solo traveller,2023-11-06,"Amazing. Brilliant staff, so clean, they have thought of everything"
 United Kingdom,55.3781,-3.436,Ama,Three-Bedroom Villa ,2023-11,9.0,5,"Like many a review before this one, this is simply a marvellous place for a break. In amongst it all yet hidden away by 1000yards. Indian hospitality at its best. A seasoned traveller and all 6 of us were in agreement that we would have no hesitation in recommending Seashell to friends and family and would happily stay here again",Family,2023-11-06,A perfect 5 day stay
