name,country,room_types,booked,rating,nights,like_review,traveler_type,reviewed,review_title,longitude,latiude
Gauri,India,Aguada Cottage Garden View - King Bed,2024-01-01,10,1,"I visited the place with my parents who are senior citizens.. There was nothing that we didn't like!! 

Stay:- 
The stay was amazing and the staff is very polite and helpful. A special thanks to Ms. Abigail who helped us through the entire stay and made it very special for my parents. Each and every staff member is always smiling and courteous. Right from the  attendant at the entrance Mr. Agastino to every member in the restaurants... 
Room

Food: -
We visited during the Republic day weekend.. The widespread variety of food was amazing... we got the flavours of cuisines across India..

Location:-
The view from the property is mesmerising and serene..",Family,2024-01-30,Satisfying and out of this world!!!! Looking forward to visit again soon!!!,78.9629,20.5937
Shashwat,India,Premium Suite Sea View with Terrace - King Bed,2024-01-01,10,2,"Ambiance,courtesy of staff & food quality & service",Couple,2024-01-27,Excellent,78.9629,20.5937
Brijesh,India,Deluxe Room Sea View with Sitout - King Bed,2024-01-01,10,10,All were exceptional. Every member of Support Staff was exceptional.,Couple,2024-01-26,Very enjoyable,78.9629,20.5937
Shekhar,India,Hermitage Villa With Garden Sitout,2024-01-01,8,5,Great location and spacious property. Easy access to less busy beach.,Family,2024-01-25,Great place for kids vacation at beach,78.9629,20.5937
Tanmay,Australia,Deluxe Room Sea View with Sitout - King Bed,2024-01-01,9,4,"Food, Staff and Property",Family,2024-01-24,"Wonderful hotel , would love to go back",133.7751,-25.2744
Prasad,India,Deluxe Room Sea View - King Bed,2024-01-01,10,2,"Magnificent view of the Candolim bay from lobby and room.
Service is excellent. Visit to the nearby property taj holiday village was a bonus. Excellent tour of the property.",Family,2024-01-22,One of the most memorable holidays of my life time,78.9629,20.5937
Deepa,India,Aguada Cottage Garden View - King Bed,2024-01-01,10,2,Breakfast spread was amazing. All the staff were so helpful especially Jessly. Made our stay a memorable one.,Family,2024-01-22,Excellent,78.9629,20.5937
Lesley,United Kingdom,Deluxe Room Sea View - King Bed,2024-01-01,10,7,"Excellent hotel, great food. Pool was good, access to beach also good. Good that we were able to use the beach chairs of the neighbouring Taj. No complaints really apart from those below. Staff were fine, some very helpful, others less so.",Couple,2024-01-21,An excellent hotel for a beachside family holiday.,-0.1276,55.3781
Zinatara,United Kingdom,Premium Suite Sea View with Terrace - King Bed,2024-01-01,10,3,"Polite ,helpful staff .Impeccable service .
Awesome food .",Family,2024-01-16,Excellent,-0.1276,55.3781
Vishal,United Kingdom,Deluxe Room Sea View - King Bed,2024-01-01,10,5,Amazing place to relax Goa......,Family,2024-01-07,Exceptional,-0.1276,55.3781
Saumyajit,Indonesia,Aguada Cottage Sea View - King Bed,2023-12-01,10,2,"Loved the Experience, hermitage Villa was amazing. Paper moon food was amazing especially the bread. Nelson at paper moon such a nice person.  We had a memorable stay and amazing Christmas dinner",Family,2024-01-06,Just perfect,113.9213,-0.7893
Dr,India,Aguada Cottage Garden View - King Bed,2024-01-01,10,2,"It was an excellent stay, We just got back from a surprised filled 7 days new year holiday in Goa in which I have spent 3 nights in Goa later I regret why I haven’t spent all 7 nights in Goa Taj. 

We loved it and specially for my kid  . She loved giggles so much , that she would spend most of her time there . We were upgraded to the Hermitage villa from cottage at very minimal cost… thanks to Rakesh !! 

Our villa has its own garden and closer to the place of breakfast and the pool in the hermitage lounge which is good for senior citizens & kids. The staff was very helpful and kind . I loved the way they took care of every minute need. And the way they treated our daughter . It was a royal stay thanks to Yuvraj & Badal at Hermitage lounge !! 

The house keeping and F&B has been fantastic . The rooms are excellent. Every member of the hotel is just there to pamper you as also give you space to have fun with your own family.
Rakesh & Snehal at the front desk was very supportive and kind We experienced the TAJNESS in absolutely every sense.",Family,2024-01-05,Strength of the Taj is their staff ..,78.9629,20.5937
Ashley,United States,Aguada Cottage Sea View - King Bed,2023-12-01,9,3,We stayed in the seaview cottage and the view and service were amazing; beautiful bathrooms and decor and outdoor spaces. The view was spectacular. The location on one of the few last stretches of clean beach in Goa was amazing. We could also use the restaurants at the sister property (Taj Holiday) which was nice. The smell of jasmine as you walk in the open-air lobby is unforgettable.,Family,2024-01-04,"Excellent location, service, and ambiance-well worth the price for a beautiful, clean Goa experience",-95.7129,37.0902
Utkarsh,India,Hermitage Villa - Sea View - One Bedroom,2023-12-01,9,1,"Food was excellent, chef curated special dishes for the kids, beautiful view",Family,2024-01-04,Great place to stay sans beach enjoyment,78.9629,20.5937
Akhilesh,United Kingdom,Deluxe Room Sea View with Sitout - King Bed,2023-12-01,10,5,"The location, staff, food, ambience, comfortable rooms.",Couple,2024-01-02,Exceptional,-0.1276,55.3781
Dr,India,Hermitage Villa With Garden Sitout,2023-12-01,10,3,Good attitude n behavior of attendant Mr.shubham,Family,2023-12-30,Exceptional,78.9629,20.5937
Shaminder,United Kingdom,Hermitage Villa With Garden Sitout,2023-12-01,10,5,"Staying at the Taj Fort Aguada Resort and Spa in Goa was an unparalleled experience of luxury and warmth. The hospitality extended to us was nothing short of exceptional, making us feel truly valued and pampered. The hotel and room exuded elegance and were maintained to the highest standard, offering a perfect blend of comfort and sophistication. What stood out the most was the staff's unwavering dedication to ensuring our every need was met. They consistently went above and beyond, leaving no stone unturned to make our stay memorable. Their commitment to guest satisfaction was evident in every interaction, making our time at the resort truly unforgettable. Highly recommend!",Couple,2023-12-29,Exceptional,-0.1276,55.3781
Raman,India,Aguada Cottage Sea View - King Bed,2023-12-01,10,4,"TAJ is TAJ . Visited this property again after 10 years and found it to be as exceptional as earlier. In the last few years tried many newer similar 5 Star  properties in Goa but the service level of Taj is absolutely ummatched ! 
The sea view cottages were perfect , every staff from the ones who receive you at the porch to teh check in staff to the bustling breakfast and dinner restaurants go out of their way to greet you and  make you comfortable . 
The food was amazing too, so many options in teh breakfast buffet and each delicious , its carefully crafted heavenly qulaity of food and service . Even in the adjoining Taj Village got the same feel .",Family,2023-12-28,WAH TAJ - Still the same after 10 years !,78.9629,20.5937
Amit,India,Hermitage Villa With Garden Sitout,2023-12-01,9,4,"I was travelling to Goa with my kids for the first time. My daughter is severely allergic to certain food items and severe means it life threatening. Due to which we avoid travelling to far places. But she wanted to visit Goa so we planned this Trip.
The property is very well maintained and staff is very courteous. As my daughter is allergic to certain food items so met the chefs at Kokum restaurant well in advance and informed them about the food allergies. I really appreciate the efforts put in by Chef Roshan, Chef Priyaranjan and Chef Nishant to make us and my daughter feel comfortable. They took very good care of our daughter and made her stay in Goa comfortable. We enjoyed a lot due to them. Other staff at the Kokum restaurant like Vincent was always checking on us and what we need when we were there. Vincent is working in this facility for 40 years and now retiring in March'24, Best wishes to him. The staff at the pool, Gym and other facilities was also very courteous.
I will definitely recommend this Resort to anyone visiting Goa.",Family,2023-12-27,Great stay and value for Money. Thumbs up to Chefs and Staff at Kokum Restaurant,78.9629,20.5937
Amit,India,Superior Room Garden View with Sitout - King Bed,2023-12-01,9,2,"Location, property, shuttle service",Family,2023-12-25,Excellent except game room & they enter the room in absence of us without knowledge.,78.9629,20.5937
Ayan,India,Premium Suite Sea View with Terrace - King Bed,2023-12-01,10,2,"Everything except the lunch spread at Kokum kitchen. Breakfast at Caravella was yummm though..

It's one of the best resorts we have stayed at!",Family,2023-12-24,Exceptional,78.9629,20.5937
Preetiap,India,Premium Suite Sea View with Terrace - King Bed,2023-12-01,9,2,Location.,Family,2023-12-22,Superb,78.9629,20.5937
Mukund,United Arab Emirates,Aguada Cottage Sea View - King Bed,2023-11-01,10,2,Everything,Couple,2023-12-19,Beautiful property. A bit overpriced though.,55.2962,23.4241
Monica,India,Deluxe Room Sea View with Sitout - King Bed,2023-11-01,9,3,Awesome diwali celebration,Family,2023-12-11,Superb,78.9629,20.5937
Akshay,India,Deluxe Room Sea View - King Bed,2023-10-01,9,2,"Great location , great staff special thanks to Vincent who was ever supportive, caring and smiling . May God bless him",Family,2023-12-10,Loved the stay thank you,78.9629,20.5937
Bagga,India,Superior Room Garden View with Sitout - King Bed,2023-12-01,9,2,Property was good and clean. Staff was nice.,Family,2023-12-10,Good location with good hospitality,78.9629,20.5937
Sumedha,India,Deluxe Room Sea View with Sitout - King Bed,2023-12-01,8,1,"Amazing location and even food was good, even in the breakfast buffet. Views from almost all parts of this property is great",Couple,2023-12-09,Very good,78.9629,20.5937
Amit,India,Superior Room Garden View with Sitout - King Bed,2023-12-01,10,2,Really good staff and heartily welcome of my Aunt who had come to India from London after long time,Family,2023-12-05,Fantastic holidays to enjoy at this property,78.9629,20.5937
Aruni,United Kingdom,Deluxe Room Sea View with Sitout - King Bed,2023-12-01,8,5,Clean good facility very helpful staff,Family,2023-12-01,Tiny bit let down,-0.1276,55.3781
Thomas,United Kingdom,Aguada Cottage Garden View - King Bed,2023-11-01,10,2,The staff were very attentive and provided a level of service that far surpasses any other hotel I have stayed. The way they care for the property with a clear passion is a joy to behold.,Couple,2023-11-29,An awesome end to my 50th birthday celebrations.,-0.1276,55.3781
Kunal,India,Deluxe Room Sea View with Sitout - King Bed,2023-10-01,10,2,Everything,Solo traveller,2023-11-26,Go for it,78.9629,20.5937
Sneha,India,Aguada Cottage Sea View - King Bed,2023-10-01,9,3,"Location, villa, shuttle facilities between two properties.",Family,2023-11-25,Superb,78.9629,20.5937
Vishal,India,Aguada Cottage Garden View - King Bed,2023-11-01,10,3,Location was excellent. Hospitality and staff were exceptional. Food was really good. Overall our stay was perfect,Family,2023-11-23,Exceptional,78.9629,20.5937
Abhroneil,India,Deluxe Room Sea View with Sitout - King Bed,2023-11-01,10,1,The exceptional service provided by Taj was an amazing experience in itself. Loved the hospitality. The view was amazing and the sister property of  Taj had an amazing beach which we could also access. A special mention to Ms. Jolly who gave a lovely surprise for my husband's birthday. Loved the sea view from our room and the midnight meals. Thank you Taj for making it special.,Couple,2023-11-20,Amazing Taj,78.9629,20.5937
Prakash,India,Superior Room Garden View with Sitout - King Bed,2023-11-01,10,1,Total property is 5 star,Couple,2023-11-18,It is really 5 star,78.9629,20.5937
Mehta,India,Deluxe Room Sea View with Sitout - King Bed,2023-11-01,10,1,The best thing about this property is view and location. The staff and hospitality is wonderful. Room is normal but rest everything is amaazingggg,Couple,2023-11-15,Mesmerizing and closest to the nature,78.9629,20.5937
Madhumita,India,Deluxe Room Sea View - King Bed,2023-09-01,9,2,"- Excellent location
- Superb well maintained property",Couple,2023-11-10,Excellent place in goa,78.9629,20.5937
Sonu,India,Deluxe Room Sea View - King Bed,2023-10-01,8,1,Feel historic and Luxury heritage,Couple,2023-11-08,Very good,78.9629,20.5937
Arundati,India,Superior Room Garden View with Sitout - King Bed,2023-11-01,9,2,The location and Taj hospitality .,Group,2023-11-07,"Had a comfortable stay , value for money.The breakfast spread was great.The staff was courteous and helpful .Overall had",78.9629,20.5937
L,India,Aguada Cottage Garden View - Twin Bed,2023-10-01,9,3,Room was excellent,Couple,2023-11-04,Compensation due from Booking.com,78.9629,20.5937
Sunil,India,Deluxe Room Sea View with Sitout - King Bed,2023-10-01,9,3,"Liked the hospitality, service, location and food",Family,2023-10-31,Had a great fun and joyfull vacation,78.9629,20.5937
Ashok,India,Deluxe Room Sea View - King Bed,2023-10-01,10,1,Staff across all services at the hotel.,Group,2023-10-29,Super n excellent,78.9629,20.5937
Hitesh,India,Aguada Cottage Sea View - Twin Bed,2023-10-01,10,2,"Staff is extremely helpful and friendly. They took great care of the comfort of the guests. Special thanks to Ms Vanshika, Ms Loveleena and Mr Badal for their gesture.",Family,2023-10-29,Great Family holiday.,78.9629,20.5937
Vikram,Switzerland,Aguada Cottage Garden View - King Bed,2023-10-01,10,2,The warmth and hospitality of the staff made the stay very comfortable.,Couple,2023-10-27,The warmth and hospitality of the staff made the stay very comfortable.  Will visit again,8.2275,46.8182
Enterprises,India,Aguada Cottage Garden View - King Bed,2023-10-01,10,4,The food was excellent. The kids get free food. It is a major advantage of Taj hotels.,Family,2023-10-23,Very good,78.9629,20.5937
Kush,India,Aguada Cottage Sea View - Twin Bed,2023-10-01,10,2,"Everything was awesome. The pool, the breakfast, the snacks, the dinner, the room. Wonderful stay. We will definitely be back.",Family,2023-10-23,Perfect,78.9629,20.5937
Varma,India,Superior Room Garden View with Sitout - King Bed,2023-10-01,10,2,Excellent view from the room. Go for the villa with sea view,Family,2023-10-22,Great trip for family,78.9629,20.5937
Pankaj,India,Deluxe Room Sea View - King Bed,2023-10-01,8,3,"Location , food and staff",Couple,2023-10-19,We enjoyed the over all hospitality of Taj .. which certainly is unquestionable …,78.9629,20.5937
Surya,Mozambique,Deluxe Room Sea View - King Bed,2023-10-01,10,1,Amenities,Family,2023-10-19,It was truly extraordinary and the staff was very helpful,35.5296,-18.6657
Agy,United Kingdom,Superior Room Garden View with Sitout - Twin Bed,2023-10-01,10,2,Can’t fault the views,Family,2023-10-18,Taj at its best,-0.1276,55.3781
Harmeet,India,Superior Room Garden View with Sitout - King Bed,2023-09-01,10,1,"Your staff is very chivalrous. 
Shubham at the front desk/reception desk was really nice. Helped us throughout. 
It was a good experience overall.",Couple,2023-10-18,Beautiful,78.9629,20.5937
Shailesh,India,Deluxe Room Sea View with Sitout - Twin Bed,2023-10-01,10,3,Location is excellent you can have direct view of Fort Aguada and beach also.,Family,2023-10-17,Stay was excellent you can book this property without second thought. I am sure you would love it.,78.9629,20.5937
Pranav,India,Deluxe Room Sea View with Sitout - King Bed,2023-10-01,10,3,"Sea front rooms
Great service
Made birthday special with surprises

 Following were of great help Lovina at front desk. Following at restaurants: Nitin Vincent Melvin In general all the staff members were great. Two properties were well connected as shuttle cars were always on standby. Could thus enjoy amenities at both the properties very easily",Family,2023-10-13,A great experience at the Taj,78.9629,20.5937
Vikash,India,Superior Room Garden View with Sitout - King Bed,2023-09-01,9,1,Location Ambiance n staff courtesy,Couple,2023-10-12,Superb,78.9629,20.5937
Jkm,United Kingdom,Deluxe Room Sea View - King Bed,2023-09-01,10,4,"Absolutely incredible hotel. Staff could not do enough for their guests and every need was catered for. We got upgraded to a wonderful suite owing to our honeymoon. The turn down staff brought us a little gift every evening- little touches like this were so sweet! We went half board which I highly recommend. Both breakfast and dinner had so many choices including fresh/live stations of food. There is something for everyone- indian and continental. I would stay here again anytime I am in the area. True 5 star experience and 5 star hospitality. There are ofcourse cheaper options- but this was worth the extra for an exceptional stay. Thank you to all the staff at the Taj. You all work so hard but are always polite, helpful and greet your guests with a big smile!",Couple,2023-10-10,Absolutely exceptional,-0.1276,55.3781
Vinod,India,Aguada Cottage Garden View - King Bed,2023-10-01,10,2,"Best part is the staff
So well trained so courteous helpful and friendly",Family,2023-10-09,Exceptional,78.9629,20.5937
Rupert,United Kingdom,Superior Room Garden View with Sitout - King Bed,2023-10-01,9,2,Beautiful location by the sea and easy to walk straight onto the beach.,Couple,2023-10-09,Beautiful location and a classy hotel,-0.1276,55.3781
Bharat,India,Superior Room Garden View with Sitout - King Bed,2023-10-01,10,1,Everything,Family,2023-10-05,Exceptional,78.9629,20.5937
Amisha,India,Superior Room Garden View with Sitout - King Bed,2023-09-01,10,1,Everything. One of our best stays in Goa,Couple,2023-10-01,Exceptional,78.9629,20.5937
Ashish,Australia,Deluxe Room Sea View - King Bed,2023-09-01,10,2,"Breakfast was very nice, they customised our orders and Vincent took special care of our needs.",Family,2023-09-27,Great,133.7751,-25.2744
Sharma,India,Superior Room Garden View with Sitout - Twin Bed,2023-09-01,10,1,"The stay was amazing. Staff were very helpful specially Shubham Persiak, who made our checkin/out process very comfortable and even went a little extra to explain us about the property and services offered. Mr Sandeep at the pool was very friendly and told us about some local places to visit. Overall the staff made us feel like home, we had a wonderful stay.",Couple,2023-09-27,Amazing stay,78.9629,20.5937
Odhav,India,Superior Room Garden View with Sitout - King Bed,2023-09-01,9,1,The hospitality was amazing.... everyone was smiling and that made our stay fantastic. The property is great. The breakfast options and taste both were good.,Couple,2023-09-21,Superb,78.9629,20.5937
Jafarkhan,India,Deluxe Room Sea View - King Bed,2023-09-01,10,3,Its location,Family,2023-09-21,Over all stay was good,78.9629,20.5937
Naman,India,Superior Room Garden View with Sitout - King Bed,2023-09-01,9,2,The swimming pool,Family,2023-09-20,Superb,78.9629,20.5937
Jhanak,India,Aguada Cottage Garden View - King Bed,2023-07-01,10,4,Everything!!!!,Family,2023-09-13,Fabulousssssss,78.9629,20.5937
Mohamad,Ireland,Deluxe Room Sea View with Sitout - King Bed,2023-09-01,9,6,"Beautiful hotel and staff that truly go out of their way to make you feel welcome and make your stay special. My partner and I loved our stay and will be staying here if and when we are back in Goa. Special shout out to the reception ladies, the pool staff and the bar waiters who were very friendly to us. Extra special shout out to Lovina, Joy, Vincent and Hudson!",Couple,2023-09-12,"Beautiful hotel, great staff",-8.2439,53.4129
Ashwani,Singapore,Deluxe Room Sea View with Sitout - King Bed,2023-09-01,9,3,food was amazing / many options.,Couple,2023-09-08,excellent stay,103.8198,1.3521
Parmanand,United Arab Emirates,Superior Room Garden View with Sitout - King Bed,2023-09-01,9,2,"Amazing facilities, courteous and helpful staff, beautiful surroundings",Family,2023-09-05,Awesome,55.2962,23.4241
Trupti,India,Deluxe Room Sea View with Sitout - King Bed,2023-08-01,10,1,Hospitality..,Group,2023-09-04,One of the finest resorts in Goa..,78.9629,20.5937
Santosh,India,Deluxe Room Sea View - King Bed,2023-09-01,9,2,"The location, the property and the out of the box gesture extended by entire staff more particularly Ms. Abigail Fernandes who not only offered us a room upgrade but also ensured that we have best views from that. Thank you Ms Abigail and Taj for making our holiday more special and comfortable.",Family,2023-09-04,"Excellent stay, best staff services and amazing views.",78.9629,20.5937
Anamika,India,Aguada Cottage Sea View - King Bed,2023-09-01,10,2,"The check in staff was very nice , the housing guys were very polite , the shuttle staff were also very good , Dave was a super host at the time of check out ..!",Couple,2023-09-03,Exceptional,78.9629,20.5937
Shubhamagrawal94,India,Deluxe Room Sea View - King Bed,2023-08-01,10,2,The amazing hospitality of Taj and its staff.,Family,2023-08-31,Excellence in Hospitality,78.9629,20.5937
Aditya,India,Aguada Cottage Sea View - King Bed,2023-08-01,9,2,"Location,food and hospitality especially of Ms Lovina at the reception area and the restaurant staff .",Family,2023-08-30,Great stay,78.9629,20.5937
Naresh,India,Deluxe Room Sea View - King Bed,2023-08-01,10,3,All meals specially poori chole ragi idly pan cake,Couple,2023-08-30,Very nice and pleasure😌,78.9629,20.5937
Yuvi,India,Superior Room Garden View with Sitout - King Bed,2023-08-01,10,1,Taj - kiya baat hai,Couple,2023-08-25,Just awesome,78.9629,20.5937
Rajani,Canada,Aguada Cottage Sea View - Twin Bed,2023-08-01,9,2,Beauty,Family,2023-08-21,Perfect for young people. Elderly might have trouble with steps if staying in cottage.,-106.3468,56.1304
Myla,India,Superior Room Garden View with Sitout - King Bed,2023-08-01,10,1,The way they greet customers . Food was awesome and cleanliness upto mark.,Family,2023-08-17,Exceptional,78.9629,20.5937
Trupti,India,Deluxe Room Sea View - King Bed,2023-08-01,10,1,Location,Couple,2023-08-10,One of the most amazing experiences I have had..,78.9629,20.5937
Shrirang,India,Deluxe Room Sea View with Sitout - King Bed,2023-08-01,10,2,Location of the hotel was fantastic.,Family,2023-08-04,Exceptional,78.9629,20.5937
Anand,India,Superior Room Garden View with Sitout - King Bed,2023-08-01,10,1,"Sunil & team was exceedingly caring at the breakfast table, feeding us like a family member",Family,2023-08-02,"Stay to remember - Tranquility serenity & pristine nature  & fantastic staff -Shubham ,Vani",78.9629,20.5937
Kalyan,India,Superior Room Garden View with Sitout - Twin Bed,2023-07-01,9,1,"Excellent spread, fantastic service, always smiling staff",Family,2023-07-29,"Thoroughly enjoyed my stay, always smiling and ready to serve staff made it wonderful",78.9629,20.5937
Apoorv,India,Superior Room Garden View with Sitout - King Bed,2023-07-01,10,3,"Upon Check in, we were greeted by Ms Jessel at the reception. She ensured all she could for a smoother check in process. Also, she helped in providing us a room for early check in and provided more rooms as and when available. 

Also, the overall staff experience was quite great with the most of the people trying to do their best for all our requirements, even though they were not extraordinary.",Family,2023-07-27,Exceptional,78.9629,20.5937
Mona,India,Premium Suite Sea View with Terrace - King Bed,2023-07-01,10,3,"With a scenic view of the sea and the Aguada Fort, you can just sit all day even in your room and look at it. The staff members- Abigail, Deepa, Neelima, Jackson, Passang, Sunil, Manju and even the housekeeping staff- all of them made sure that all our needs were met immediately. They were on their toes making sure that everything went smoothly for us.",Family,2023-07-24,Beautiful property,78.9629,20.5937
 ashok,India,Aguada Cottage Sea View - King Bed,2023-07-01,10,3,"Super hospitality, gracious staff, lavish F and B counters, sumptuous food, fantastic service, excellent location, best in its class of properties.",Solo traveller,2023-07-23,Exceptional,78.9629,20.5937
Sanjay,United Arab Emirates,Aguada Cottage Garden View - King Bed,2023-07-01,10,1,"Location
Ambience
Services",Couple,2023-07-17,Most memorable stay,55.2962,23.4241
Preeti,India,Aguada Cottage Garden View - King Bed,2023-07-01,10,3,Staff was very helpful and accommodating. Specially Lovina she guided us properly.,Group,2023-07-16,Fantastic,78.9629,20.5937
Anisha,India,Superior Room Garden View with Sitout - King Bed,2023-07-01,10,3,Spectacular view and great staff,Family,2023-07-16,Exceptional,78.9629,20.5937
Puneet,India,Deluxe Room Sea View with Sitout - King Bed,2023-07-01,9,2,Beautiful property & very good location. It has beautiful  view. The staff was very courteous.,Couple,2023-07-16,Enjoyed the stay.,78.9629,20.5937
Nahid,United Arab Emirates,Aguada Cottage Garden View - King Bed,2023-07-01,10,3,"I am writing to extend my profound appreciation for the unparalleled service and hospitality that my family and I were privileged to experience during our recent stay at Taj Fort Aguada in Goa from the 8th to the 11th of July, 2023. The blend of luxurious comfort and personable service made our stay extraordinary.
There are several staff members whose dedication and warmth contributed significantly to the enjoyment of our stay, enhancing the stellar reputation your hotel holds for exceptional customer service.
Cynthia, Shubham, Valmiki, Nisha, Karan Kapoor, Dibyendu, Priyadas, Derick, Jeslyn, Ramsevak and Augustine.
Together, they are the shining Jewels of Taj!
The extraordinary dedication and efforts of your team transformed our stay from a simple visit into a cherished memory. This is the quality of service that will encourage us to choose Taj Fort Aguada for future stays and recommend it to our acquaintances.
Once again, we extend our gratitude for transforming an initial hiccup into a remarkable memory. We eagerly anticipate our next visit.
P.S. Had to cut short my positive feedback for each individual mentioned above due to text limit.",Family,2023-07-13,A Heartfelt Expression of Gratitude for an Exceptional Stay at Taj Fort Aguada,55.2962,23.4241
Rajkumar,India,Deluxe Room Sea View with Sitout - King Bed,2023-07-01,10,1,"Location was excellent, breakfast is too good, staff is very cooperative etc",Couple,2023-07-10,Swarg se sunder & best place for couples from young to old age. Amazing I all expects,78.9629,20.5937
Sunita,India,Deluxe Room Sea View with Sitout - King Bed,2023-07-01,10,4,"I loved the property, pool and the restaurant",Couple,2023-07-08,Fantastic,78.9629,20.5937
Chopra,India,Deluxe Room Sea View - King Bed,2023-07-01,9,3,"Awesome location, great food",Couple,2023-07-06,"All in all a great stay, loved it",78.9629,20.5937
Ashok,India,Superior Room Garden View with Sitout - King Bed,2023-06-01,10,4,Hospitality,Family,2023-07-03,Exceptional,78.9629,20.5937
Ashley,United Kingdom,Superior Room Garden View with Sitout - King Bed,2023-06-01,10,2,Location n views,Couple,2023-07-01,Enjoyable and comfortable stay,-0.1276,55.3781
